Project ID,Owner ID,Title,Description,Budget,Currency Type,Currency Symbol,Date Updated,Status,Type,Qualifications,Language,Attachments,Location
37847709,54112490,Eye-Catching Tech-Inspired Logo Design,,30.0,Euro,€,1709740120,active,fixed,,en,,"None, None"
37847660,72216999,Logo Recreation Specialist Needed,,600.0,Indian Rupee,₹,1709739240,active,fixed,,en,,"None, None"
37847644,38132260,Innovative Text-Based Logo Design,,10.0,British Pounds,£,1709739038,active,fixed,,en,,"None, None"
37847609,74947316,Animated Showcase of Communication App,,30.0,Euro,€,1709738451,active,fixed,,en,,"None, None"
37847522,74946963,Professional Logo Design for Brand Recognition,,50.0,US Dollar,$,1709736961,active,fixed,,en,,"None, None"
37847387,73964510,EdTech Course Explained in Infographics,,600.0,Indian Rupee,₹,1709734789,active,fixed,,en,,"None, None"
37847378,14749825,Urgent Vintage Logo and Content Design,,600.0,Indian Rupee,₹,1709734522,active,fixed,,en,,"None, None"
37847337,74945981,Colorful  Logo Creation,,10.0,US Dollar,$,1709733985,active,fixed,,en,,"None, None"
37847207,52468390,Certificate Logo Reformatting,,600.0,Indian Rupee,₹,1709731487,closed,fixed,,en,,"None, None"
37847193,73355004,Elegant Tech Logo Design,,1500.0,Indian Rupee,₹,1709731253,active,fixed,,en,,"None, None"
37847180,3205382,Site web one pager,,30.0,Canadian Dollar,$,1709731000,active,fixed,,fr,,"None, None"
37842668,74923920,Graphic Design - Wordmark Style,,30.0,US Dollar,$,1709729199,active,fixed,,en,,"None, None"
37846973,51945929,Modern Logo Design with Green Elements,,1500.0,Indian Rupee,₹,1709727599,active,fixed,,en,,"None, None"
37846958,55522139,Total Website Revamp and Logo Redesign,,30.0,Australian Dollar,$,1709727328,active,fixed,,en,,"None, None"
37846891,41494064,Minimalist Logo Design for Branding,,600.0,Indian Rupee,₹,1709725963,active,fixed,,en,,"None, None"
37846862,74943450,Minimalistic Logo Creation,,15.0,US Dollar,$,1709725347,frozen,hourly,,en,,"None, None"
37846843,28937509,Design a Compelling Car Window Sign,,30.0,Australian Dollar,$,1709724838,active,fixed,,en,,"None, None"
37846786,73903092,Modern Logo Design in Monochrome,,250.0,US Dollar,$,1709723896,active,fixed,,en,,"None, None"
37846788,64437013,Golden Letter Mark Logo Creation,,600.0,Indian Rupee,₹,1709723873,closed,fixed,,en,,"None, None"
37846736,59671116,Brand Identity Logo Designer Needed,,30.0,US Dollar,$,1709723030,active,fixed,,en,,"None, None"
37846663,19542623,Cartoon Wingsuit Logo Design,,30.0,Euro,€,1709722062,closed,fixed,,en,,"None, None"
37846642,74942450,Creative Graphic Designer Needed,,30.0,US Dollar,$,1709721774,active,fixed,,en,,"None, None"
37846637,74942513,Maia: Hair Oil Branding & Web Design,,50.0,New Zealand Dollar,$,1709721715,active,fixed,,en,,"None, None"
37846592,74786056,Logo Design PSD,,10.0,US Dollar,$,1709720648,closed,fixed,,pt,,"None, None"
37846528,74789406,Herbal Hair Oil Logo & Label Design,,30.0,New Zealand Dollar,$,1709719488,frozen,fixed,,en,,"None, None"
37846504,74941801,Minimalistic Logo Creation - Red Hues,,10.0,British Pounds,£,1709719096,frozen,fixed,,en,,"None, None"
37846439,74941497,Minimalist Multicolored Logo Design,,1500.0,Indian Rupee,₹,1709718572,frozen,fixed,,en,,"None, None"
37846462,74941613,Minimalist Business Card Design,,10.0,Australian Dollar,$,1709718335,frozen,fixed,,en,,"None, None"
37846466,16187146,Looking for a logo designer ,,600.0,Indian Rupee,₹,1709718219,active,fixed,,en,,"None, None"
37846334,74940817,Creative Logo Design Needed,,15.0,US Dollar,$,1709715667,closed,hourly,,en,,"None, None"
37846261,74696520,Minimalist Logo Design and Print Services,,1500.0,Indian Rupee,₹,1709714325,active,fixed,,en,,"None, None"
37846241,69380865,graphic designer -- 2,,2.0,US Dollar,$,1709713958,active,hourly,,en,,"None, None"
37846030,74939430,Shopify eCommerce Site Development,,12500.0,Indian Rupee,₹,1709713359,active,fixed,,en,,"None, None"
37846088,74939742,Minimalist Logo & Comprehensive Brand Kit,,600.0,Indian Rupee,₹,1709711213,closed,fixed,,en,,"None, None"
37846056,74939357,Lettermark Logo Design,,600.0,Indian Rupee,₹,1709711085,active,fixed,,en,,"None, None"
37846040,72355985,Minimalistic Product Label Design,,12500.0,Indian Rupee,₹,1709710165,closed,fixed,,en,,"None, None"
37845957,74577364,Modern Logo Design for my business,,600.0,Indian Rupee,₹,1709708907,closed,fixed,,en,,"None, None"
37845942,65100824,Modify and Revamp Logo Design,,10.0,US Dollar,$,1709708566,closed,fixed,,en,,"None, None"
37845899,74938477,Expert Logo Designer Wanted,,75000.0,Indian Rupee,₹,1709708460,active,fixed,,en,,"None, None"
37845910,11403665,Logo Transformation to Vector,,10.0,US Dollar,$,1709708074,closed,fixed,,en,,"None, None"
37845903,68852331,Abstract Logo Creation,,1500.0,Indian Rupee,₹,1709707820,active,fixed,,en,,"None, None"
37845889,74774358,Bold Social Media Graphics & Logo -- 2,,1500.0,Indian Rupee,₹,1709707529,active,fixed,,en,,"None, None"
37845879,30487565,Logo Design and a Landing Page,,400.0,Canadian Dollar,$,1709707386,closed,fixed,,en,,"None, None"
37845752,74857419,Multifaceted Graphic Design Needs - 06/03/2024 00:58 EST,,750.0,Indian Rupee,₹,1709705547,active,hourly,,en,,"None, None"
37845652,74907712,Concrete Basin Brochure Designer Needed,,30.0,US Dollar,$,1709703045,active,hourly,,en,,"None, None"
37845631,74857419,Multifaceted Graphic Design Needs -- 2,,750.0,Indian Rupee,₹,1709702563,active,hourly,,en,,"None, None"
37845577,60114336,Minimalistic Logo for F&B Business,,600.0,Indian Rupee,₹,1709701658,closed,fixed,,en,,"None, None"
37845562,36039832,Logo Design Urgently Needed,,8.0,Euro,€,1709701291,active,fixed,,en,,"None, None"
37845550,10614291,Vibrant Illustrative Logo for Brand Recognition,,2.0,Canadian Dollar,$,1709701034,active,hourly,,en,,"None, None"
37845534,74030987,Minimalistic Corporate Letterhead Creation,,10.0,US Dollar,$,1709700637,closed,fixed,,en,,"None, None"
